City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
282,mariental,8,DE,1554695948,90,52.28,10.99,44.01,1.01
283,havoysund,80,NO,1554693600,68,71.0,24.66,26.6,9.17
284,marzuq,0,YE,1554695973,84,14.4,46.47,49.14,2.37
285,padang,0,ID,1554695975,100,-0.92,100.36,83.52,7.18
286,springbok,64,ZA,1554695976,91,-29.67,17.88,47.7,4.38
287,marienburg,0,DE,1554695915,71,52.12,9.98,43.0,1.12
288,norman wells,90,CA,1554692400,68,65.28,-126.83,30.2,3.36
289,nantucket,20,US,1554695955,76,41.28,-70.1,50.0,8.05
290,coquimbo,90,CL,1554692400,82,-29.95,-71.34,60.8,2.24
291,paamiut,88,GL,1554695980,93,61.99,-49.67,32.58,10.65
292,dunedin,12,NZ,1554695658,71,-45.87,170.5,60.01,23.0
293,desna,68,UA,1554695627,78,50.92,30.77,52.0,6.71
294,salinopolis,92,BR,1554695878,100,-0.61,-47.36,79.2,7.52
295,fort-shevchenko,80,KZ,1554695985,93,44.51,50.26,48.78,7.74
296,elliot,92,ZA,1554695986,98,-31.33,27.85,49.41,3.6
297,karratha,32,AU,1554695769,36,-20.74,116.85,96.03,4.72
298,port-gentil,88,GA,1554695988,97,-0.72,8.78,82.53,4.16
299,metro,0,ID,1554695988,83,-5.11,105.31,86.13,4.05
300,madras,90,US,1554695976,100,44.63,-121.13,48.2,11.21
301,ahipara,76,NZ,1554695990,85,-35.17,173.16,64.8,18.7
302,klaksvik,80,FO,1554693600,60,62.23,-6.59,41.0,11.41
303,srednekolymsk,8,RU,1554695992,72,67.46,153.71,22.05,3.15
304,inhambane,80,MZ,1554695993,91,-23.87,35.38,77.76,7.63
305,grindavik,75,IS,1554695517,80,63.84,-22.43,35.6,13.87
306,baykit,64,RU,1554695995,82,61.68,96.39,25.29,10.98
307,agadez,0,NE,1554695996,20,16.97,7.99,73.17,10.42
308,kuytun,24,RU,1554695997,65,54.34,101.51,35.91,7.29
309,tuatapere,44,NZ,1554695745,71,-46.13,167.69,63.9,9.86
310,mala tokmachka,0,UA,1554692400,70,47.53,35.9,42.8,6.71
311,lavrentiya,0,RU,1554696000,100,65.58,-170.99,16.2,39.06
312,dryden,90,CA,1554694980,100,49.79,-92.84,33.8,4.7
313,powell river,20,CA,1554696005,76,49.84,-124.52,50.0,8.05
314,tsiroanomandidy,0,MG,1554696015,89,-18.77,46.05,60.66,8.41
315,khor,12,RU,1554696016,61,47.88,134.96,47.25,5.39
316,caraquet,1,CA,1554695753,38,47.79,-64.94,23.0,4.7
317,ruteng,92,ID,1554696018,91,-8.61,120.46,78.48,3.27
318,golovchino,0,RU,1554692400,56,50.53,35.8,44.6,8.95
319,mananjary,0,MG,1554696020,88,-19.16,46.8,50.85,5.28
